#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-08T09:52:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-08T09:52:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/682/A145/catalog&-order=I&-out=HIP&-out=HD&-out=Name&-out=GaiaDR3&-out=RA_ICRS&-out=DE_ICRS&-out=ThetaLD&-out=Indirect&-out=GBSV1&-out=GBSV2&-out=Plx&-out=o_Plx&-out=Av&-out=FbolAv0&-out=Fbol&-out=Teff&-out=Lum&-out=Rad&-out=MassB&-out=MassS&-out=logg&-out=[Fe/H]&-out=Dnu&-out=numax&-out=loggSeis&-out=RadSeis&-out=MassSeis&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36820145
#Name: J/A+A/682/A145
#Title: Gaia FGK benchmark stars v3 (Soubiran+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/682/a145	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2024A&A...682A.145S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/682/A145	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36820145	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-01-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_A_A_682_A145_catalog:
#Name: J/A+A/682/A145/catalog
#Title: Parameters of the stars (corrected version, 04/12/2024, from erratum, 2025A&A...693C...3S)
#Column	HIP	(A9)	HIP name (HIPNNNNNN)	[ucd=meta.id;meta.main]
#Column	HD	(A8)	HD name (HDNNNNNN)	[ucd=meta.id]
#Column	Name	(a13)	Other name	[ucd=meta.id]
#Column	GaiaDR3	(I19)	? Gaia DR3 Source identifier	[ucd=meta.id]
#Column	RA_ICRS	(F8.4)	Right Ascension (ICRS) at Ep=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F8.4)	Declination (ICRS) at Ep=J2000	[ucd=pos.eq.dec;meta.main]
#Column	ThetaLD	(F6.3)	Limb darkened angular diameter	[ucd=phys.angSize]
#Column	Indirect	(I1)	[1]? 1 = indirect measurement of ThetaLD	[ucd=meta.code]
#Column	GBSV1	(I1)	[1]? 1 = GBS present in V1, Heiter et al., 2015A&A...582A..49H	[ucd=meta.code]
#Column	GBSV2	(I1)	[1]? 1 = GBS present in V2, Jofre et al., 2018RNAAS...2..152J, Cat. III/281	[ucd=meta.code]
#Column	Plx	(F6.2)	Parallax	[ucd=pos.parallax]
#Column	o_Plx	(A1)	[GHA] Origin for the parallax (1)	[ucd=meta.number]
#Column	Av	(F6.3)	Extinction in V band	[ucd=phys.absorption]
#Column	FbolAv0	(F8.3)	? Bolometric flux 0 extinction	[ucd=phot.flux.bol]
#Column	Fbol	(F8.3)	Bolometric flux	[ucd=phot.flux.bol]
#Column	Teff	(I4)	Fundamental effective temperature	[ucd=phys.temperature.effective]
#Column	Lum	(F8.3)	Luminosity	[ucd=phys.luminosity]
#Column	Rad	(F7.3)	Linear radius	[ucd=phys.size.radius]
#Column	MassB	(F6.3)	Mass from BaSTI	[ucd=phys.mass]
#Column	MassS	(F6.3)	Mass from STAREVOL	[ucd=phys.mass]
#Column	logg	(F5.2)	Logarithm of surface gravity Newton law	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Metallicity from literature	[ucd=phys.abund.Z]
#Column	Dnu	(F6.2)	? Large frequency separation	[ucd=em.freq;src.var]
#Column	numax	(F6.1)	? Frequency of maximum oscillation power	[ucd=em.freq;stat.max]
#Column	loggSeis	(F5.2)	? Seismic logg	[ucd=phys.gravity]
#Column	RadSeis	(F6.3)	? Seismic radius	[ucd=phys.size.radius]
#Column	MassSeis	(F6.3)	? Seismic mass	[ucd=phys.mass]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
HIP	HD	Name	GaiaDR3	RA_ICRS	DE_ICRS	ThetaLD	Indirect	GBSV1	GBSV2	Plx	o_Plx	Av	FbolAv0	Fbol	Teff	Lum	Rad	MassB	MassS	logg	[Fe/H]	Dnu	numax	loggSeis	RadSeis	MassSeis	Simbad
# 	 	 	 	deg	deg	mas	 	 	 	mas	 	mag	10-11W/m2	10-11W/m2	K	Lsun	Rsun	Msun	Msun	[cm/s2]	[-]	uHz	uHz	[cm/s2]	Rsun	Msun	
#---------	--------	-------------	-------------------	--------	--------	------	-	-	-	------	-	------	--------	--------	----	--------	-------	------	------	-----	-----	------	------	-----	------	------	------
HIP101345	HD195564	             	6904703228801028864	308.0987	-09.8534	 0.712	 	 	 	 40.42	G	 0.013	  15.700	  15.607	5514	   2.986	  1.894	 1.107	 1.236	 3.95	 0.05	      	      	     	      	      	Simbad
HIP10234 	HD13468 	*  63 Cet    	2494336311948357504	032.8993	-01.8254	 0.886	 	 	 	  8.62	G	 0.024	  12.449	  12.499	4676	  52.579	 11.051	 1.155	 0.926	 2.37	-0.13	      	      	     	      	      	Simbad
HIP102422	HD198149	* eta Cep    	2195115561168483712	311.3224	+61.8388	 2.882	 	 	 	 69.60	G	 0.008	 141.294	 140.897	4751	   9.091	  4.452	 0.982	 1.060	 3.15	-0.13	 17.23	 228.0	 3.25	 4.033	 1.435	Simbad
HIP103598	HD200205	             	2190891581091291520	314.8558	+59.4386	 2.032	 	 	 	  4.80	G	 0.067	  36.033	  36.344	4032	 493.052	 45.515	 0.932	 1.574	 1.20	-0.36	      	      	     	      	      	Simbad
HIP104214	HD201091	*  61 Cyg A  	1872046609345556480	316.7247	+38.7494	 1.775	 	1	1	285.99	G	 0.000	  39.248	  39.236	4398	   0.150	  0.667	 0.695	 0.679	 4.63	-0.13	      	      	     	      	      	Simbad
HIP104217	HD201092	*  61 Cyg B  	1872046574983497216	316.7303	+38.7420	 1.581	 	1	1	286.01	G	 0.000	  25.154	  25.256	4174	   0.097	  0.594	 0.613	 0.617	 4.68	-0.21	      	      	     	      	      	Simbad
HIP104659	HD201891	             	1787990525934491776	317.9960	+17.7277	 0.273	1	 	1	 29.91	G	 0.023	   3.300	   3.303	6040	   1.154	  0.981	 0.762	 0.779	 4.34	-1.02	      	      	     	      	      	Simbad
HIP106039	HD204381	*  b Cap     	6828451375858909568	322.1808	-21.8072	 1.524	 	 	 	 17.47	G	 0.018	  51.636	  51.455	5079	  52.697	  9.379	 2.157	 2.508	 2.86	-0.11	      	      	     	      	      	Simbad
HIP108535	HD209369	*  16 Cep    	2278918344568877056	329.8124	+73.1799	 0.621	 	 	 	 27.23	G	 0.022	  26.588	  26.722	6754	  11.264	  2.452	 1.543	 1.503	 3.84	-0.24	      	      	     	      	      	Simbad
HIP108870	HD209100	* eps Ind    	6412595290592307840	330.8402	-56.7860	 1.817	 	 	 	274.84	G	 0.000	  52.977	  52.557	4676	   0.217	  0.711	 0.722	 0.726	 4.59	-0.13	      	      	     	      	      	Simbad
HIP109176	HD210027	* iot Peg    	1891598193816300544	331.7528	+25.3451	 1.206	 	 	 	 84.01	G	 0.007	  82.586	  82.209	6419	   3.641	  1.543	 1.243	 1.218	 4.15	-0.11	      	      	     	      	      	Simbad
HIP109937	HD211388	*   1 Lac    	1907131544341497600	333.9924	+37.7487	 3.371	 	 	 	  4.81	G	 0.132	 123.040	 124.423	4258	1680.929	 75.351	 4.562	 5.668	 1.39	-0.05	      	      	     	      	      	Simbad
HIP11095 	HD15248 	             	4643560452496180992	035.7180	-73.6458	 0.949	 	 	 	  9.21	G	 0.032	  14.973	  14.899	4721	  54.901	 11.078	 1.327	 2.237	 2.59	 0.06	      	      	     	      	      	Simbad
HIP111944	HD214868	*  11 Lac    	1982252790090609152	340.1286	+44.2763	 2.731	 	 	 	  9.32	G	 0.045	  77.614	  77.516	4203	 278.930	 31.505	 1.077	 1.620	 1.56	-0.20	      	      	     	      	      	Simbad
HIP112440	HD215665	* lam Peg    	1876331990259358976	341.6328	+23.5657	 2.260	 	 	 	  8.60	G	 0.055	  94.084	  93.948	4848	 397.037	 28.254	 3.783	 3.944	 2.12	-0.07	      	      	     	      	      	Simbad
HIP112447	HD215648	* ksi Peg    	2719475542667772416	341.6733	+12.1729	 1.091	 	 	 	 60.92	G	 0.009	  59.529	  59.431	6223	   5.005	  1.925	 1.172	 1.233	 3.95	-0.27	      	      	     	      	      	Simbad
HIP112731	HD216174	             	2003961238426647680	342.4430	+55.9028	 1.598	 	 	 	  8.29	G	 0.052	  29.030	  28.986	4297	 131.833	 20.725	 0.870	 0.902	 1.75	-0.55	      	      	     	      	      	Simbad
HIP112748	HD216131	* mu. Peg    	1876510592179455744	342.5008	+24.6016	 2.496	 	 	 	 28.93	G	 0.021	 125.503	 125.665	4961	  46.931	  9.276	 1.962	 2.483	 2.85	-0.03	      	      	     	      	      	Simbad
HIP113357	HD217014	*  51 Peg    	2835207319109249920	344.3666	+20.7688	 0.685	 	 	 	 64.40	G	 0.009	  19.120	  17.031	5746	   1.284	  1.144	 1.005	 1.055	 4.33	 0.18	      	      	     	      	      	Simbad
